ayuna_Computer
~~BEGIN~~
1,O,4,6
2,X,3,6
3,O,6,4
4,X,5,6
5,O,4,7
6,X,3,8
7,O,2,6
8,X,1,6
9,O,4,8
10,X,5,8
11,O,5,7
12,X,6,6
13,O,6,7
14,X,6,8
15,O,7,6
16,X,8,6
17,O,3,7
18,X,4,3
19,O,3,5
20,X,3,4
21,O,2,8
22,X,1,8
23,O,2,5
24,X,7,3
25,O,2,7
26,X,1,5
27,O,7,7
28,X,8,8
29,O,2,4
30,X,1,4
31,O,4,2
32,X,4,1
33,O,6,5
34,X,7,5
35,O,2,3
36,X,2,2
37,O,6,3
38,X,6,2
39,O,7,8
40,X,3,3
41,O,7,4
42,X,8,3
43,O,1,1
44,X,5,3
45,O,6,1
46,X,8,5
47,O,1,7
48,X,5,2
49,O,1,3
50,X,1,2
51,O,7,2
52,X,8,1
53,O,5,1
54,X,8,4
55,O,8,2
56,X,2,1
57,O,8,7
58,X,3,2
59,O,3,1
60,X,7,1
~~END~~
WHITE,25
BLACK,39
